longname,id,memory.text,memory.value.gib,vcpu.text,vcpu.value.count,processorName,clockSpeed.text,clockSpeed.value.ghz,storage.text,storage.sum.gib,storage.count,storage.type,network_performance.text,network_performance.value.Gib,network_performance.is_guaranteed,is.vpc.only,cost.ondemand.text,cost.ondemand.value.usdph,cost.reserved.text,cost.reserved.value.usdph,region.name,join.entry
Z1D Extra Large,z1d.xlarge,32.0 GiB,32.0,4 vCPUs,4,Intel Xeon Platinum 8151,4 GHz,4,150 GiB               NVMe SSD,150,1,NVMe,Up to 10 Gigabit,10 ,0,Yes,$0.450000 hourly,0.450000 ,$0.284000 hourly,0.284000 ,eu-central-1,101
Z1D Metal,z1d.metal,384.0 GiB,384.0,48 vCPUs,48,Intel Xeon Platinum 8151,4 GHz,4,1800 GiB               (2 * 900 GiB NVMe SSD),1800,2,NVMe,25 Gigabit,25,1,Yes,$5.400000 hourly,5.400000 ,$3.402000 hourly,3.402000 ,eu-central-1,101
Z1D Large,z1d.large,16.0 GiB,16.0,2 vCPUs,2,Intel Xeon Platinum 8151,4 GHz,4,75 GiB               NVMe SSD,75,1,NVMe,Up to 10 Gigabit,10 ,0,Yes,$0.225000 hourly,0.225000 ,$0.142000 hourly,0.142000 ,eu-central-1,101
Z1D 6xlarge,z1d.6xlarge,192.0 GiB,192.0,24 vCPUs,24,Intel Xeon Platinum 8151,4 GHz,4,900 GiB               NVMe SSD,900,1,NVMe,10 Gigabit,10,1,Yes,$2.700000 hourly,2.700000 ,$1.701000 hourly,1.701000 ,eu-central-1,101
Z1D 3xlarge,z1d.3xlarge,96.0 GiB,96.0,12 vCPUs,12,Intel Xeon Platinum 8151,4 GHz,4,450 GiB               NVMe SSD,450,1,NVMe,Up to 10 Gigabit,10 ,0,Yes,$1.350000 hourly,1.350000 ,$0.851000 hourly,0.851000 ,eu-central-1,101
Z1D Double Extra Large,z1d.2xlarge,64.0 GiB,64.0,8 vCPUs,8,Intel Xeon Platinum 8151,4 GHz,4,300 GiB               NVMe SSD,300,1,NVMe,Up to 10 Gigabit,10 ,0,Yes,$0.900000 hourly,0.900000 ,$0.567000 hourly,0.567000 ,eu-central-1,101
Z1D 12xlarge,z1d.12xlarge,384.0 GiB,384.0,48 vCPUs,48,Intel Xeon Platinum 8151,4 GHz,4,1800 GiB               (2 * 900 GiB NVMe SSD),1800,2,NVMe,25 Gigabit,25,1,Yes,$5.400000 hourly,5.400000 ,$3.402000 hourly,3.402000 ,eu-central-1,101
X1E Extra Large,x1e.xlarge,122.0 GiB,122.0,4 vCPUs,4,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,120 GiB               SSD,120,1,SSD,Up to 10 Gigabit,10 ,0,Yes,$1.167000 hourly,1.167000 ,$0.719000 hourly,0.719000 ,eu-central-1,101
X1E Eight Extra Large,x1e.8xlarge,976.0 GiB,976.0,32 vCPUs,32,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,960 GiB               SSD,960,1,SSD,Up to 10 Gigabit,10 ,0,Yes,$9.336000 hourly,9.336000 ,$5.753000 hourly,5.753000 ,eu-central-1,101
X1E Quadruple Extra Large,x1e.4xlarge,488.0 GiB,488.0,16 vCPUs,16,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,480 GiB               SSD,480,1,SSD,Up to 10 Gigabit,10 ,0,Yes,$4.668000 hourly,4.668000 ,$2.877000 hourly,2.877000 ,eu-central-1,101
X1E 32xlarge,x1e.32xlarge,3904.0 GiB,3904.0,128 vCPUs,128,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,3840 GiB               (2 * 1920 GiB SSD),3840,2,SSD,25 Gigabit,25,1,Yes,$37.344000 hourly,37.344000 ,$23.013000 hourly,23.013000 ,eu-central-1,101
X1E Double Extra Large,x1e.2xlarge,244.0 GiB,244.0,8 vCPUs,8,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,240 GiB               SSD,240,1,SSD,Up to 10 Gigabit,10 ,0,Yes,$2.334000 hourly,2.334000 ,$1.438000 hourly,1.438000 ,eu-central-1,101
X1E 16xlarge,x1e.16xlarge,1952.0 GiB,1952.0,64 vCPUs,64,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,1920 GiB               SSD,1920,1,SSD,10 Gigabit,10,1,Yes,$18.672000 hourly,18.672000 ,$11.506000 hourly,11.506000 ,eu-central-1,101
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952.0 GiB,1952.0,128 vCPUs,128,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,2.3,3840 GiB               (2 * 1920 GiB SSD),3840,2,SSD,25 Gigabit,25,1,Yes,$18.674000 hourly,18.674000 ,$11.508000 hourly,11.508000 ,eu-central-1,101
