family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,24
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,24
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,24
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,24
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,24
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,24
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,24
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,24
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,24
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,24
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,24
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,24
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,24
Storage optimized,previous,hs1.8xlarge,35,17,,,,117,10 Gigabit,,,24,false,,2000,4.6,24
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,24
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,24
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,24
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,24
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,24
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,24
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,24
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,24
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,24
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,24
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,24
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,24
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,24
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,24
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,24
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,24
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,24
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,24
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,24
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,24
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,24
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,24
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,24
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,24
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,24
GPU instances,current,g2.8xlarge,104,32,,,,60,10 Gigabit,,,2,true,,120,2.6,24
Memory optimized,current,r3.large,6.5,2,,,,15.25,Moderate,,,1,true,,32,0.175,24
Memory optimized,current,r3.xlarge,13,4,,,,30.5,Moderate,,,1,true,,80,0.35,24
Memory optimized,current,r3.2xlarge,26,8,,,,61,High,,,1,true,,160,0.7,24
Memory optimized,current,r3.4xlarge,52,16,,,,122,High,,,1,true,,320,1.4,24
Memory optimized,current,r3.8xlarge,104,32,,,,244,10 Gigabit,,,2,true,,320,2.8,24
Storage optimized,current,i2.xlarge,14,4,,,,30.5,Moderate,,,1,true,,800,0.853,24
Storage optimized,current,i2.2xlarge,27,8,,,,61,High,,,2,true,,800,1.705,24
Storage optimized,current,i2.4xlarge,53,16,,,,122,High,,,4,true,,800,3.41,24
Storage optimized,current,i2.8xlarge,104,32,,,,244,10 Gigabit,,,8,true,,800,6.82,24
Storage optimized,current,d2.xlarge,14,4,,,,30.5,Moderate,,,3,false,,2000,0.69,24
Storage optimized,current,d2.2xlarge,28,8,,,,61,High,,,6,false,,2000,1.38,24
Storage optimized,current,d2.4xlarge,56,16,,,,122,High,,,12,false,,2000,2.76,24
Storage optimized,current,d2.8xlarge,116,36,,,,244,10 Gigabit,,,24,false,,2000,5.52,24
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,25
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,25
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,25
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,25
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,25
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,25
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,25
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,25
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,25
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,25
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,25
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,25
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,25
Storage optimized,previous,hs1.8xlarge,35,17,,,,117,10 Gigabit,,,24,false,,2000,4.6,25
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,25
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,25
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,25
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,25
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,25
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,25
