family, generation, pretty_name,id, ECU,vcpu.value.count,processorName,clockSpeed.text,clockSpeed.value.ghz,clockSpeed.is_guaranteed, memory.value.gib, network_performance.text,network_performance.value.Gib,network_performance.is_guaranteed,storage.count.text,storage.count, storage_ssd.text, storage_nvme_ssd.text,storage.type,storage.perdevice.gib,storage.sum.gib,cost.ondemand.value.usdph,region.name,join.entry,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,,,,,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,80,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,,,,,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,81,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,,,,,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,82,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,Intel® Xeon® Scalable Processors,Up to 4.0,4.0,0,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,83,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,Intel® Xeon® Scalable Processors,Up to 4.0,4.0,0,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,84,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,Intel® Xeon® Scalable Processors,Up to 4.0,4.0,0,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,85,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,0,4,Intel® Xeon® Scalable Processors,Up to 4.0,4.0,0,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,,us-east-2,86,,
z1d,current,Z1D Extra Large,z1d.xlarge,28,4,Intel Xeon Platinum 8151,,,,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,0.372,us-east-2,87,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,28,4,Intel Xeon Platinum 8151,,,,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,0.372,us-east-2,88,,
Memory optimized,current,Z1D Extra Large,z1d.xlarge,28,4,Intel Xeon Platinum 8151,,,,32,Up to 10 Gigabit,10 ,0,1,1,true,true,NVMe,150,150,0.372,us-east-2,89,,
