instance.type,vCPU,memory,savings.over.ondemand,freq.text,region.name,region.id,freq.num
c5n.2xlarge,8,21,73%,<5%,Europe (Frankfurt),eu-central-1,5
m5ad.2xlarge,8,32,72%,<5%,Europe (Frankfurt),eu-central-1,5
m5d.large,2,8,74%,<5%,Europe (Frankfurt),eu-central-1,5
m5.24xlarge,96,384,70%,<5%,Europe (Frankfurt),eu-central-1,5
r5n.16xlarge,64,512,80%,<5%,Europe (Frankfurt),eu-central-1,5
c5.2xlarge,8,16,65%,<5%,Europe (Frankfurt),eu-central-1,5
r5.large,2,16,76%,<5%,Europe (Frankfurt),eu-central-1,5
c5a.xlarge,4,8,62%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.4xlarge,16,32,55%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.2xlarge,8,32,60%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.16xlarge,64,512,69%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.large,2,16,69%,<5%,Europe (Frankfurt),eu-central-1,5
r5dn.xlarge,4,32,76%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.12xlarge,48,192,60%,<5%,Europe (Frankfurt),eu-central-1,5
m5n.12xlarge,48,192,0%,<5%,Europe (Frankfurt),eu-central-1,5
m4.10xlarge,40,160,72%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.xlarge,4,32,69%,<5%,Europe (Frankfurt),eu-central-1,5
c4.xlarge,4,7.5,72%,<5%,Europe (Frankfurt),eu-central-1,5
r5.2xlarge,8,64,73%,<5%,Europe (Frankfurt),eu-central-1,5
c5a.2xlarge,8,16,62%,<5%,Europe (Frankfurt),eu-central-1,5
t2.medium,2,4,70%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.2xlarge,8,16,55%,<5%,Europe (Frankfurt),eu-central-1,5
r5.8xlarge,32,256,76%,<5%,Europe (Frankfurt),eu-central-1,5
t3.large,2,8,70%,<5%,Europe (Frankfurt),eu-central-1,5
r5.24xlarge,96,768,76%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.8xlarge,32,64,55%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.8xlarge,32,128,60%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.large,2,4,55%,<5%,Europe (Frankfurt),eu-central-1,5
t2.xlarge,4,16,70%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.2xlarge,8,64,69%,<5%,Europe (Frankfurt),eu-central-1,5
t2.micro,1,1,70%,<5%,Europe (Frankfurt),eu-central-1,5
t3.nano,2,0.5,70%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.12xlarge,48,384,69%,<5%,Europe (Frankfurt),eu-central-1,5
t3.xlarge,4,16,70%,<5%,Europe (Frankfurt),eu-central-1,5
t2.large,2,8,70%,<5%,Europe (Frankfurt),eu-central-1,5
c5.9xlarge,36,72,66%,<5%,Europe (Frankfurt),eu-central-1,5
m5dn.8xlarge,32,128,0%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.4xlarge,16,64,60%,<5%,Europe (Frankfurt),eu-central-1,5
m5.large,2,8,70%,<5%,Europe (Frankfurt),eu-central-1,5
r4.xlarge,4,30.5,78%,<5%,Europe (Frankfurt),eu-central-1,5
c5n.xlarge,4,10.5,73%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.4xlarge,16,128,69%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.large,2,8,60%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.metal,64,128,-35%,<5%,Europe (Frankfurt),eu-central-1,5
c4.8xlarge,36,60,72%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.12xlarge,48,96,55%,<5%,Europe (Frankfurt),eu-central-1,5
t3.small,2,2,70%,<5%,Europe (Frankfurt),eu-central-1,5
m4.16xlarge,64,256,77%,<5%,Europe (Frankfurt),eu-central-1,5
t2.small,1,2,70%,<5%,Europe (Frankfurt),eu-central-1,5
c5.xlarge,4,8,65%,<5%,Europe (Frankfurt),eu-central-1,5
r5ad.xlarge,4,32,77%,<5%,Europe (Frankfurt),eu-central-1,5
c5.4xlarge,16,32,65%,<5%,Europe (Frankfurt),eu-central-1,5
r5.xlarge,4,32,76%,<5%,Europe (Frankfurt),eu-central-1,5
r3.2xlarge,8,61,82%,<5%,Europe (Frankfurt),eu-central-1,5
c5n.large,2,5.25,73%,<5%,Europe (Frankfurt),eu-central-1,5
t3.medium,2,4,70%,<5%,Europe (Frankfurt),eu-central-1,5
r5dn.4xlarge,16,128,82%,<5%,Europe (Frankfurt),eu-central-1,5
r4.16xlarge,64,488,78%,<5%,Europe (Frankfurt),eu-central-1,5
c5n.9xlarge,36,96,70%,<5%,Europe (Frankfurt),eu-central-1,5
c3.8xlarge,32,60,77%,<5%,Europe (Frankfurt),eu-central-1,5
m5dn.xlarge,4,16,78%,<5%,Europe (Frankfurt),eu-central-1,5
r5d.xlarge,4,32,79%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.16xlarge,64,128,55%,<5%,Europe (Frankfurt),eu-central-1,5
m4.xlarge,4,16,72%,<5%,Europe (Frankfurt),eu-central-1,5
m5n.xlarge,4,16,41%,<5%,Europe (Frankfurt),eu-central-1,5
c5n.4xlarge,16,42,73%,<5%,Europe (Frankfurt),eu-central-1,5
r5n.2xlarge,8,64,74%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.nano,2,0.5,70%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.medium,2,4,70%,<5%,Europe (Frankfurt),eu-central-1,5
c5d.xlarge,4,8,69%,<5%,Europe (Frankfurt),eu-central-1,5
m4.large,2,8,72%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.medium,1,2,55%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.micro,2,1,70%,<5%,Europe (Frankfurt),eu-central-1,5
m5n.2xlarge,8,32,73%,<5%,Europe (Frankfurt),eu-central-1,5
r3.8xlarge,32,244,83%,<5%,Europe (Frankfurt),eu-central-1,5
c5d.large,2,4,70%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.small,2,2,70%,<5%,Europe (Frankfurt),eu-central-1,5
m5dn.2xlarge,8,32,50%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.2xlarge,8,32,70%,<5%,Europe (Frankfurt),eu-central-1,5
t3.micro,2,1,70%,<5%,Europe (Frankfurt),eu-central-1,5
m3.2xlarge,8,30,80%,<5%,Europe (Frankfurt),eu-central-1,5
m5.2xlarge,8,32,70%,<5%,Europe (Frankfurt),eu-central-1,5
r5dn.large,2,16,59%,<5%,Europe (Frankfurt),eu-central-1,5
c5.large,2,4,66%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.large,2,8,70%,<5%,Europe (Frankfurt),eu-central-1,5
m4.2xlarge,8,32,72%,<5%,Europe (Frankfurt),eu-central-1,5
m3.medium,1,3.75,90%,<5%,Europe (Frankfurt),eu-central-1,5
c4.large,2,3.75,72%,<5%,Europe (Frankfurt),eu-central-1,5
r4.2xlarge,8,61,78%,<5%,Europe (Frankfurt),eu-central-1,5
c5n.18xlarge,72,192,73%,<5%,Europe (Frankfurt),eu-central-1,5
r5n.12xlarge,48,384,80%,<5%,Europe (Frankfurt),eu-central-1,5
r5d.4xlarge,16,128,79%,<5%,Europe (Frankfurt),eu-central-1,5
c3.large,2,3.75,77%,<5%,Europe (Frankfurt),eu-central-1,5
r3.large,2,15.25,83%,<5%,Europe (Frankfurt),eu-central-1,5
c4.2xlarge,8,15,69%,<5%,Europe (Frankfurt),eu-central-1,5
c5.18xlarge,72,144,66%,<5%,Europe (Frankfurt),eu-central-1,5
m5n.24xlarge,96,384,48%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.8xlarge,32,256,69%,<5%,Europe (Frankfurt),eu-central-1,5
m5ad.large,2,8,72%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.medium,1,4,60%,<5%,Europe (Frankfurt),eu-central-1,5
t3a.xlarge,4,16,70%,<5%,Europe (Frankfurt),eu-central-1,5
m6g.metal,64,256,40%,<5%,Europe (Frankfurt),eu-central-1,5
r3.4xlarge,16,122,81%,<5%,Europe (Frankfurt),eu-central-1,5
m3.large,2,7.5,80%,<5%,Europe (Frankfurt),eu-central-1,5
t2.2xlarge,8,32,70%,<5%,Europe (Frankfurt),eu-central-1,5
m4.4xlarge,16,64,72%,<5%,Europe (Frankfurt),eu-central-1,5
r6g.medium,1,8,69%,<5%,Europe (Frankfurt),eu-central-1,5
c6g.xlarge,4,8,55%,<5%,Europe (Frankfurt),eu-central-1,5
m3.xlarge,4,15,80%,<5%,Europe (Frankfurt),eu-central-1,5
r4.large,2,15.25,78%,<5%,Europe (Frankfurt),eu-central-1,5
i3en.xlarge,4,32,70%,<5%,Europe (Frankfurt),eu-central-1,5
