"","id.name","count","id","cost.usdph","read.cache.load","read.cache.mem","read.cache.sto","read.cache.s3","read.spool.mem","read.spool.sto","read.spool.s3","rw.mem","rw.sto","rw.s3","rw.xchg","stat.read.spool","stat.read.work","time.cpu","time.mem","time.sto","time.s3","time.xchg","time.load","stat.time.sum","stat.time.max","stat.time.period","stat.elas.s3bw","stat.elas.effi","stat.elas.scan","stat.price.sum","stat.price.max","stat.price.period","rank","param.cpuh","param.scanned","param.cache.skew","param.spool.skew","param.spool.frac","param.do.split","meta.join.entry","meta.region.name","meta.join.time","meta.origin","meta.uses.spot.price"
"1","m5n.24xlarge",1,"m5n.24xlarge/1",1.64286130841121,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,10,1,64,0.0348104057237799,0.034226277258567,39.4286714018692,1,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",TRUE
"2","m5d.24xlarge",1,"m5d.24xlarge/1",1.72602086752638,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,2.5,1,64,0.03657246438192,0.0359587680734662,41.4245008206331,2,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",TRUE
"3","r5d.24xlarge",1,"r5d.24xlarge/1",1.83148304412494,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,2.5,1,64,0.0388070907238473,0.0381558967526029,43.9555930589985,3,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",TRUE
"4","r5.24xlarge",1,"r5.24xlarge/1",1.85283836028582,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,2.5,1,64,0.0392595861451674,0.0386007991726213,44.4681206468597,4,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",TRUE
"5","c5.24xlarge",1,"c5.24xlarge/1",4.08,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,2.5,1,64,0.0864506666666667,0.085,97.92,5,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"6","c5d.24xlarge",1,"c5d.24xlarge/1",4.608,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,2.5,1,64,0.0976384,0.096,110.592,6.5,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"7","m5.24xlarge",1,"m5.24xlarge/1",4.608,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,2.5,1,64,0.0976384,0.096,110.592,6.5,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"8","c5n.18xlarge",1,"c5n.18xlarge/1",3.888,0,64,0,0,0,0,0,64,0,0,0,0,64,100,1.28,0,0,0,0,101.28,100,86400,10,1,64,0.1093824,0.108,93.312,8,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"9","h1.16xlarge",1,"h1.16xlarge/1",3.744,0,64,0,0,0,0,0,64,0,0,0,0,64,112.5,1.28,0,0,0,0,113.78,112.5,86400,2.5,1,64,0.1183312,0.117,89.856,9,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"10","r4.16xlarge",1,"r4.16xlarge/1",4.256,0,64,0,0,0,0,0,64,0,0,0,0,64,112.5,1.28,0,0,0,0,113.78,112.5,86400,2.5,1,64,0.134513244444444,0.133,102.144,10,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"11","m5dn.24xlarge",1,"m5dn.24xlarge/1",6.528,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,10,1,64,0.138321066666667,0.136,156.672,11,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"12","r5n.24xlarge",1,"r5n.24xlarge/1",7.152,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,10,1,64,0.151542933333333,0.149,171.648,12,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"13","i3.16xlarge",1,"i3.16xlarge/1",4.992,0,64,0,0,0,0,0,64,0,0,0,0,64,112.5,1.28,0,0,0,0,113.78,112.5,86400,2.5,1,64,0.157774933333333,0.156,119.808,13,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
"14","inf1.24xlarge",1,"inf1.24xlarge/1",7.615,0,64,0,0,0,0,0,64,0,0,0,0,64,75,1.28,0,0,0,0,76.28,75,86400,10,1,64,0.161353388888889,0.158645833333333,182.76,14,1,64,0.001,0.001,0,FALSE,102,"us-east-1",2020.42,"instances.json",FALSE
