"","id.name","count","id","cost.usdph","read.cache.load","read.cache.mem","read.cache.sto","read.cache.s3","read.spool.mem","read.spool.sto","read.spool.s3","rw.mem","rw.sto","rw.s3","rw.xchg","stat.read.spool","stat.read.work","time.cpu","time.mem","time.sto","time.s3","time.xchg","time.load","stat.time.sum","stat.time.max","stat.time.period","stat.elas.s3bw","stat.elas.effi","stat.elas.scan","stat.price.sum","stat.price.max","stat.price.period","rank","param.cpuh","param.scanned","param.cache.skew","param.spool.skew","param.spool.frac","param.do.split"
"1","c5.24xlarge",1,"c5.24xlarge/1",4.08,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,2.5,1,16,0.0853626666666667,0.085,97.92,1,1,16,0.001,0.001,0,FALSE
"2","c5d.24xlarge",1,"c5d.24xlarge/1",4.608,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,2.5,1,16,0.0964096,0.096,110.592,2.5,1,16,0.001,0.001,0,FALSE
"3","m5.24xlarge",1,"m5.24xlarge/1",4.608,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,2.5,1,16,0.0964096,0.096,110.592,2.5,1,16,0.001,0.001,0,FALSE
"4","c5n.18xlarge",1,"c5n.18xlarge/1",3.888,0,16,0,0,0,0,0,16,0,0,0,0,16,100,0.32,0,0,0,0,100.32,100,86400,10,1,16,0.1083456,0.108,93.312,4,1,16,0.001,0.001,0,FALSE
"5","m5d.24xlarge",1,"m5d.24xlarge/1",5.424,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,2.5,1,16,0.113482133333333,0.113,130.176,5,1,16,0.001,0.001,0,FALSE
"6","h1.16xlarge",1,"h1.16xlarge/1",3.744,0,16,0,0,0,0,0,16,0,0,0,0,16,112.5,0.32,0,0,0,0,112.82,112.5,86400,2.5,1,16,0.1173328,0.117,89.856,6,1,16,0.001,0.001,0,FALSE
"7","m5n.24xlarge",1,"m5n.24xlarge/1",5.712,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,10,1,16,0.119507733333333,0.119,137.088,7,1,16,0.001,0.001,0,FALSE
"8","r5.24xlarge",1,"r5.24xlarge/1",6.048,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,2.5,1,16,0.1265376,0.126,145.152,8,1,16,0.001,0.001,0,FALSE
"9","r4.16xlarge",1,"r4.16xlarge/1",4.256,0,16,0,0,0,0,0,16,0,0,0,0,16,112.5,0.32,0,0,0,0,112.82,112.5,86400,2.5,1,16,0.133378311111111,0.133,102.144,9,1,16,0.001,0.001,0,FALSE
"10","m5dn.24xlarge",1,"m5dn.24xlarge/1",6.528,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,10,1,16,0.136580266666667,0.136,156.672,10,1,16,0.001,0.001,0,FALSE
"11","r5d.24xlarge",1,"r5d.24xlarge/1",6.912,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,2.5,1,16,0.1446144,0.144,165.888,11,1,16,0.001,0.001,0,FALSE
"12","r5n.24xlarge",1,"r5n.24xlarge/1",7.152,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,10,1,16,0.149635733333333,0.149,171.648,12,1,16,0.001,0.001,0,FALSE
"13","i3.16xlarge",1,"i3.16xlarge/1",4.992,0,16,0,0,0,0,0,16,0,0,0,0,16,112.5,0.32,0,0,0,0,112.82,112.5,86400,2.5,1,16,0.156443733333333,0.156,119.808,13,1,16,0.001,0.001,0,FALSE
"14","inf1.24xlarge",1,"inf1.24xlarge/1",7.615,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,10,1,16,0.159322722222222,0.158645833333333,182.76,14,1,16,0.001,0.001,0,FALSE
"15","r5dn.24xlarge",1,"r5dn.24xlarge/1",8.016,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,10,1,16,0.167712533333333,0.167,192.384,15,1,16,0.001,0.001,0,FALSE
"16","z1d.12xlarge",1,"z1d.12xlarge/1",4.464,0,16,0,0,0,0,0,16,0,0,0,0,16,150,0.32,0,0,0,0,150.32,150,86400,2.5,1,16,0.1863968,0.186,107.136,16,1,16,0.001,0.001,0,FALSE
"17","x1.32xlarge",1,"x1.32xlarge/1",13.338,0,16,0,0,0,0,0,16,0,0,0,0,16,56.25,0.32,0,0,0,0,56.57,56.25,86400,2.5,1,16,0.20959185,0.20840625,320.112,17,1,16,0.001,0.001,0,FALSE
"18","i3en.24xlarge",1,"i3en.24xlarge/1",10.848,0,16,0,0,0,0,0,16,0,0,0,0,16,75,0.32,0,0,0,0,75.32,75,86400,10,1,16,0.226964266666667,0.226,260.352,18,1,16,0.001,0.001,0,FALSE
